id,user_id,timestamp,photo_path,elo_gained,is_violation_report
1,1,2025-02-28T10:15:30Z,photos/user1_1.jpg,25,
2,1,2025-02-29T14:22:45Z,photos/user1_2.jpg,30,
3,2,2025-02-27T09:05:12Z,photos/user2_1.jpg,15,
4,2,2025-02-28T16:40:22Z,photos/user2_2.jpg,40,
5,3,2025-02-29T11:30:00Z,photos/user3_1.jpg,20,
6,1,2025-03-01T17:00:22.282531,/Users/johanvlassak/Documents/RatKiller/photos/user1_20250301170022.jpg,43,
7,1,2025-03-01T21:16:45.250557,/Users/johanvlassak/Documents/RatKiller/photos/user1_20250301211645.jpg,48,
8,1,2025-03-01T21:43:32.898514,/Users/johanvlassak/Documents/RatKiller/photos/user1_20250301214332.jpg,42,False
9,1,2025-03-02T08:37:28.458626,/Users/johanvlassak/Documents/RatKiller/photos/user1_20250302083728.jpg,0,False
10,1,2025-03-02T08:38:21.519949,/Users/johanvlassak/Documents/RatKiller/photos/user1_20250302083821.jpg,0,False
11,1,2025-03-02T08:40:38.053851,/Users/johanvlassak/Documents/RatKiller/photos/user1_20250302084038.jpg,0,False
12,1,2025-03-02T08:42:59.475500,/Users/johanvlassak/Documents/RatKiller/photos/user1_20250302084259.jpg,0,False
